race,height,weight,speed,strength,dexterity,constitution,intelligence,wisdom,charisma,density
dragonborn,79,279,30,14,15,12,7,13,16,3.5316455696202533
dragonborn,79,331,30,11,11,11,13,13,17,4.189873417721519
dragonborn,71,230,30,14,16,11,13,10,18,3.23943661971831
dragonborn,75,265,30,8,19,7,10,13,16,3.533333333333333
dragonborn,72,229,30,8,17,14,14,10,9,3.1805555555555554
dragonborn,72,217,30,16,10,12,12,15,11,3.013888888888889
dragonborn,72,223,30,9,14,12,16,14,17,3.0972222222222223
dragonborn,82,287,30,12,15,14,7,10,17,3.5
dragonborn,72,229,30,12,18,14,12,10,15,3.1805555555555554
dragonborn,74,239,30,15,19,15,10,9,9,3.22972972972973
dragonborn,79,292,30,14,9,11,14,11,16,3.6962025316455698
dragonborn,75,274,30,15,16,10,14,9,11,3.6533333333333333
dragonborn,79,253,30,14,16,15,14,14,13,3.2025316455696204
dragonborn,78,319,30,18,9,15,14,15,15,4.089743589743589
dragonborn,75,238,30,17,14,13,12,9,18,3.1733333333333333
dragonborn,74,199,30,19,16,10,14,13,17,2.689189189189189
dragonborn,82,287,30,12,13,17,10,11,13,3.5
dragonborn,72,223,30,10,18,9,12,11,16,3.0972222222222223
dragonborn,80,287,30,13,19,16,12,12,9,3.5875
dragonborn,77,252,30,15,12,13,12,9,5,3.272727272727273
dragonborn,76,235,30,18,16,14,8,7,12,3.0921052631578947
dragonborn,78,271,30,14,10,14,6,14,10,3.4743589743589745
dragonborn,73,217,30,14,11,13,9,15,16,2.9726027397260273
dragonborn,69,202,30,15,11,11,7,13,17,2.927536231884058
dragonborn,73,231,30,16,8,15,17,15,14,3.164383561643836
dragonborn,80,231,30,16,17,13,14,15,11,2.8875
dragonborn,81,295,30,12,17,16,8,7,14,3.6419753086419755
dragonborn,69,184,30,11,13,10,9,5,14,2.6666666666666665
dragonborn,73,238,30,17,17,7,12,13,12,3.26027397260274
dragonborn,74,255,30,16,11,12,16,14,10,3.445945945945946
dragonborn,71,220,30,16,13,10,9,16,14,3.0985915492957745
dragonborn,71,235,30,13,14,7,16,15,14,3.3098591549295775
dragonborn,77,285,30,13,15,14,9,13,18,3.7012987012987013
dragonborn,73,224,30,17,16,16,11,11,13,3.0684931506849313
dragonborn,73,217,30,18,15,11,12,14,14,2.9726027397260273
dragonborn,78,259,30,15,13,11,15,10,14,3.3205128205128207
dragonborn,75,238,30,20,12,10,11,11,15,3.1733333333333333
dragonborn,71,225,30,14,19,13,11,9,10,3.1690140845070425
dragonborn,74,263,30,18,16,16,10,15,14,3.554054054054054
